id,X,Y
1,-79.39993721,43.92174621
2,-79.59022967,43.81253132
3,-79.02502286,43.8776687
4,-79.02524452,43.87846091
5,-79.78440274,43.94877904
6,-79.78440274,43.94877904
7,-79.84551868,43.92124297
8,-79.75910182,43.87245516
9,-79.69174047,43.69668996
10,-79.03165278,43.81767221
11,-79.03165278,43.81767221
12,-79.83717861,43.92213428
13,-79.8399872,43.92079207
14,-79.8399872,43.92079207
15,-79.8399872,43.92079207
16,-79.83763553,43.91981625
17,-79.83763553,43.91981625
18,-79.82550974,43.93226686
19,-79.82687507,43.92993946
20,-79.81476218,43.93058546
21,-79.81476218,43.93058546
22,-79.8346416,43.92726106
23,-79.82881278,43.93463621
24,-79.83770038,43.91922051
25,-79.83770038,43.91922051
26,-79.83770038,43.91922051
27,-79.83770038,43.91922051
28,-79.83309235,43.92828935
29,-79.8313374,43.92937161
30,-79.82870951,43.9342778
31,-79.69078592,43.69656734
32,-79.69078592,43.69656734
33,-79.69078592,43.69656734
34,-79.69078592,43.69656734
35,-79.69078592,43.69656734
36,-79.69078592,43.69656734
37,-79.69078592,43.69656734
38,-79.68973943,43.69560252
39,-79.68973943,43.69560252
40,-79.68973943,43.69560252
41,-79.68973943,43.69560252
42,-79.68973943,43.69560252
43,-79.69111252,43.69643031
44,-79.69111252,43.69643031
45,-79.69111252,43.69643031
46,-79.58695181,43.83094992
47,-79.58695181,43.83094992
48,-79.58906087,43.8310248
49,-79.58906087,43.8310248
50,-79.98382056,43.94587276
51,-79.98382056,43.94587276
52,-79.00705981,43.8989325
53,-79.2991592,43.86450386
54,-79.2991592,43.86450386
55,-79.29373833,43.86383847
56,-79.29373833,43.86383847
57,-79.04190263,43.83866612
58,-79.51758799,43.77530766
59,-79.26496398,43.84592307
60,-79.71818636,43.80906466
61,-79.71818636,43.80906466
62,-79.7086565,43.80354694
63,-79.71076152,43.80360544
64,-79.71076152,43.80360544
65,-79.71403938,43.76552357
66,-79.71869355,43.76520247
67,-79.68976064,43.7865256
68,-79.68976064,43.7865256
69,-79.68976064,43.7865256
70,-79.68936861,43.78606141
71,-79.68936861,43.78606141
72,-79.68936861,43.78606141
73,-79.68607963,43.7861148
74,-79.68607963,43.7861148
75,-79.68859172,43.78618269
76,-79.68859172,43.78618269
77,-79.68499987,43.78543843
78,-79.68499987,43.78543843
79,-79.68370976,43.78619844
80,-79.68392025,43.78623502
81,-79.68501178,43.78545041
82,-79.65838601,43.77531646
83,-79.65838601,43.77531646
84,-79.65838601,43.77531646
85,-79.6570992,43.77507453
86,-79.6570992,43.77507453
87,-79.6570992,43.77507453
88,-79.65403449,43.77375008
89,-79.65403449,43.77375008
90,-79.65403449,43.77375008
