"","RRA_id","x","y","dist_TO_cityhall"
"1",3,-79.02502286,43.8776687,38112.5369258805
"2",7,-79.84551868,43.92124297,47525.0716684721
"3",7,-79.84551868,43.92124297,47525.0716684721
"4",8,-79.75910182,43.87245516,38729.3052515234
"5",8,-79.75910182,43.87245516,38729.3052515234
"6",10,-79.03165278,43.81767221,33687.7713795624
"7",10,-79.03165278,43.81767221,33687.7713795624
"8",10,-79.03165278,43.81767221,33687.7713795624
"9",20,-79.81476218,43.93058546,46309.430284765
"10",20,-79.81476218,43.93058546,46309.430284765
"11",20,-79.81476218,43.93058546,46309.430284765
"12",20,-79.81476218,43.93058546,46309.430284765
"13",23,-79.82881278,43.93463621,47451.9511694338
"14",23,-79.82881278,43.93463621,47451.9511694338
"15",24,-79.83770038,43.91922051,46895.9932272822
"16",24,-79.83770038,43.91922051,46895.9932272822
"17",24,-79.83770038,43.91922051,46895.9932272822
"18",24,-79.83770038,43.91922051,46895.9932272822
"19",24,-79.83770038,43.91922051,46895.9932272822
"20",24,-79.83770038,43.91922051,46895.9932272822
"21",28,-79.83309235,43.92828935,47252.9487167996
"22",29,-79.8313374,43.92937161,47223.4230997217
"23",29,-79.8313374,43.92937161,47223.4230997217
"24",29,-79.8313374,43.92937161,47223.4230997217
"25",30,-79.82870951,43.9342778,47419.5467241702
"26",30,-79.82870951,43.9342778,47419.5467241702
"27",31,-79.69078592,43.69656734,25129.7684705461
"28",43,-79.69111252,43.69643031,25152.6847823957
"29",50,-79.98382056,43.94587276,58086.1946823254
"30",50,-79.98382056,43.94587276,58086.1946823254
"31",50,-79.98382056,43.94587276,58086.1946823254
"32",50,-79.98382056,43.94587276,58086.1946823254
"33",57,-79.04190263,43.83866612,34341.4079742027
"34",57,-79.04190263,43.83866612,34341.4079742027
"35",59,-79.26496398,43.84592307,23437.9989188697
"36",59,-79.26496398,43.84592307,23437.9989188697
"37",59,-79.26496398,43.84592307,23437.9989188697
"38",62,-79.7086565,43.80354694,30963.2536873568
"39",63,-79.71076152,43.80360544,31109.349240936
"40",65,-79.71403938,43.76552357,29303.6638679439
"41",65,-79.71403938,43.76552357,29303.6638679439
"42",65,-79.71403938,43.76552357,29303.6638679439
"43",65,-79.71403938,43.76552357,29303.6638679439
"44",65,-79.71403938,43.76552357,29303.6638679439
"45",65,-79.71403938,43.76552357,29303.6638679439
"46",65,-79.71403938,43.76552357,29303.6638679439
"47",65,-79.71403938,43.76552357,29303.6638679439
"48",82,-79.65838601,43.77531646,25877.6593301797
"49",112,-79.70592156,43.79778818,30437.0364560467
"50",112,-79.70592156,43.79778818,30437.0364560467
"51",124,-79.6704759,43.77597042,26747.2556040282
"52",124,-79.6704759,43.77597042,26747.2556040282
